reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
K-3025,Lake Casa Blanca International State Park,27.5393,-99.4513,EL07gm,US-TX,32,25,1103,0,0
K-3026,Lake Colorado City State Park,32.3264,-100.933,DM92mh,US-TX,45,41,1682,0,0
K-3027,Lake Corpus Christi State Park,28.0635,-97.8712,EL18bb,US-TX,32,29,3535,0,1
K-3028,Lake Livingston State Park,30.6647,-95.0029,EM20lp,US-TX,47,42,2081,0,0
K-3029,Lake Mineral Wells State Park,32.851,-98.0267,EM02xu,US-TX,109,103,5165,0,0
K-3030,Lake Somerville State Park,30.3064,-96.6384,EM10qh,US-TX,84,79,6303,0,0
K-3031,Lake Tawakoni State Park,32.8482,-95.995,EM22au,US-TX,299,291,17073,0,0
K-3032,Lake Whitney State Park,31.9244,-97.3597,EM11hw,US-TX,100,92,6404,0,0
K-3033,Lockhart State Park,29.8494,-97.6969,EL19du,US-TX,161,157,5873,0,0
K-3034,Longhorn Cavern State Park,30.6839,-98.3523,EM00tq,US-TX,28,28,917,0,0
K-3035,Lyndon B. Johnson State Park,30.2374,-98.6292,EM00qf,US-TX,53,53,1471,0,0
K-3036,Martin Creek Lake State Park,32.278,-94.5659,EM22rg,US-TX,61,57,2897,0,0
K-3037,"Martin Dies, Jr. State Park",30.848,-94.1673,EM20vu,US-TX,80,69,4578,0,0
K-3038,McKinney Falls State Park,30.1804,-97.7217,EM10de,US-TX,162,153,7533,0,1
K-3039,Meridian State Park,31.8902,-97.6998,EM11dv,US-TX,44,41,1616,0,0
K-3040,Mission Tejas State Park,31.5497,-95.2368,EM21jn,US-TX,35,32,1430,0,0
K-3041,Monahans Sandhills State Park,31.6194,-102.812,DM81oo,US-TX,42,40,2387,0,0
K-3042,Mother Neff State Park,31.3256,-97.4695,EM11gh,US-TX,50,47,2137,0,0
K-3043,Mustang Island State Park,27.6859,-97.1844,EL17jq,US-TX,71,67,5194,0,0
K-3044,Old Tunnel State Park,30.1012,-98.8208,EM00oc,US-TX,28,26,1005,0,0
K-3045,Palmetto State Park,29.5928,-97.5856,EL19eo,US-TX,110,108,3789,0,0
K-3046,Palo Duro Canyon State Park,34.9373,-101.648,DM94ew,US-TX,78,70,2948,0,0
K-3047,Palo Pinto Mountain State Park,32.5509,-98.5338,EM02rn,US-TX,10,10,281,0,0
K-3048,Pedernales Falls State Park,30.3098,-98.2464,EM00vh,US-TX,66,59,3086,0,0
K-3049,Possum Kingdom State Park,32.8696,-98.5666,EM02ru,US-TX,102,100,7658,0,0
K-3050,Purtis Creek State Park,32.3537,-95.9936,EM22ai,US-TX,67,60,3323,0,0
K-3051,Ray Roberts Lake State Park,33.3688,-97.0094,EM13li,US-TX,386,368,22976,0,0
K-3052,Resaca De La Palma State Park,25.9968,-97.5716,EL15fx,US-TX,12,12,983,0,0
K-3053,San Angelo State Park,31.4556,-100.497,DM91sk,US-TX,54,50,2649,0,1
K-3054,Sea Rim State Park,29.6763,-94.044,EL29xq,US-TX,54,53,4942,0,0
K-3055,Seminole Canyon State Park,29.6869,-101.318,DL99iq,US-TX,9,8,353,0,0
K-3056,Sheldon Lake State Park,29.8767,-95.1684,EL29jv,US-TX,83,79,4781,0,1
K-3057,South Llano River State Park,30.4286,-99.8069,EM00ck,US-TX,47,44,1844,0,0
K-3058,Stephen F. Austin State Park,29.8184,-96.1129,EL19wt,US-TX,83,79,6395,0,0
K-3059,Tyler State Park,32.4822,-95.2834,EM22il,US-TX,96,86,4086,0,0
K-3060,Village Creek State Park,30.2522,-94.1746,EM20vg,US-TX,52,44,2652,0,0
K-3061,Walter Umphrey State Park,29.763,-93.899,EL39bs,US-TX,42,42,4583,0,0
K-3062,Antelope Island State Park,40.9581,-112.215,DN30vw,US-UT,84,78,3607,0,1
K-3063,Bear Lake State Park,41.9332,-111.282,DN41iw,US-UT,16,16,621,0,0
K-3064,Camp Floyd/Stagecoach Inn State Park,40.2608,-112.093,DN30wg,US-UT,52,50,2388,0,1
K-3065,Coral Pink Sand Dunes State Park,37.0378,-112.72,DM37pa,US-UT,16,14,258,0,0
K-3066,Dead Horse Point State Park,38.5011,-109.738,DM58dm,US-UT,23,14,604,0,0
K-3067,Deer Creek State Park,40.4161,-111.496,DN40gj,US-UT,56,55,2027,0,0
K-3068,East Canyon State Park,40.9011,-111.587,DN40ev,US-UT,14,13,767,0,0
K-3069,Edge of the Cedars State Park,37.6318,-109.492,DM57gp,US-UT,4,3,92,0,0
K-3070,Escalante Petrified Forest State Park,37.7886,-111.63,DM47es,US-UT,5,4,126,0,0
K-3071,Fremont Indian State Park,38.5776,-112.335,DM38tn,US-UT,9,9,195,0,0
K-3072,Frontier Homestead State Park,37.6889,-113.062,DM37lq,US-UT,7,7,345,0,0
K-3073,Goblin Valley State Park,38.569,-110.706,DM48pn,US-UT,10,8,234,0,0
K-3074,Goosenecks State Park,37.1747,-109.927,DM57ae,US-UT,8,7,296,0,0
K-3075,Great Salt Lake State Park,40.7337,-112.211,DN30vr,US-UT,25,23,841,0,0
K-3076,Green River State Park,38.9889,-110.152,DM48wx,US-UT,8,7,209,0,0
K-3077,Gunlock State Park,37.2544,-113.771,DM37cg,US-UT,11,10,267,0,0
K-3078,Huntington State Park,39.3468,-110.948,DM49mi,US-UT,4,4,122,0,0
K-3079,Hyrum State Park,41.6272,-111.867,DN41bp,US-UT,28,25,646,0,0
K-3080,Jordanelle State Park,40.6222,-111.419,DN40go,US-UT,28,26,1824,0,0
K-3081,Kodachrome Basin State Park,37.5178,-111.994,DM47am,US-UT,8,7,235,0,0
K-3082,Millsite State Park,39.092,-111.194,DM49jc,US-UT,4,4,159,0,0
K-3083,Otter Creek State Park,38.1664,-112.019,DM38xd,US-UT,7,7,95,0,0
K-3084,Palisade State Park,39.2012,-111.67,DM49de,US-UT,11,10,151,0,0
K-3085,Piute State Park,38.3193,-112.196,DM38vh,US-UT,12,12,488,0,0
K-3086,Quail Creek State Park,37.1854,-113.398,DM37he,US-UT,25,23,787,0,0
K-3087,Red Fleet State Park,40.5802,-109.432,DN50gn,US-UT,3,3,115,0,0
K-3088,Rockport State Park,40.7763,-111.388,DN40hs,US-UT,16,15,559,0,0
K-3089,Sand Hollow State Park,37.1182,-113.389,DM37hc,US-UT,28,24,1095,0,0
K-3090,Scofield State Park,39.7931,-111.13,DM49kt,US-UT,16,12,565,0,0
K-3091,Snow Canyon State Park,37.2031,-113.641,DM37ee,US-UT,25,23,645,0,0
K-3092,Fred Hayes at Starvation State Park,40.187,-110.46,DN40se,US-UT,4,4,191,0,0
K-3093,Steinaker State Park,40.5118,-109.524,DN50fm,US-UT,3,3,137,0,0
K-3094,Utah Lake State Park,40.2378,-111.736,DN40df,US-UT,154,148,5313,0,0
K-3095,Wasatch Mountain State Park,40.5331,-111.49,DN40gm,US-UT,38,37,1512,0,0
K-3096,Willard Bay State Park,41.4208,-112.058,DN31xk,US-UT,30,24,616,0,0
K-3097,Yuba State Park,39.341,-111.939,DM49ai,US-UT,15,15,432,0,0
K-3098,Alburg Dunes State Park,44.8757,-73.2915,FN34iv,US-VT,5,5,758,0,0
K-3099,Allis State Park,44.0481,-72.6346,FN34qb,US-VT,12,11,1023,0,0
K-3100,Big Deer State Park,44.2869,-72.2678,FN34ug,US-VT,2,2,386,0,1
K-3101,Bomoseen State Park,43.6555,-73.2287,FN33jp,US-VT,6,6,176,0,0
K-3102,Boulder Beach State Park,44.2775,-72.2624,FN34ug,US-VT,2,1,94,0,0
K-3103,Branbury State Park,43.9061,-73.0668,FN33lv,US-VT,13,11,836,0,0
K-3104,Brighton State Park,44.798,-71.8549,FN44bt,US-VT,3,3,662,0,0
K-3105,Burton Island State Park,44.773,-73.2039,FN34js,US-VT,2,2,358,0,0
K-3106,Button Bay State Park,44.1829,-73.3504,FN34he,US-VT,4,4,943,0,0
K-3107,Camels Hump State Park,44.3119,-72.876,FN34nh,US-VT,1,1,35,0,0
K-3108,Camp Plymouth State Park,43.4755,-72.6949,FN33pl,US-VT,7,7,749,0,0
K-3109,Coolidge State Park,43.5522,-72.6973,FN33pn,US-VT,21,16,797,0,0
K-3110,Crystal Lake State Park,44.7464,-72.1718,FN34vr,US-VT,4,4,224,0,0
K-3111,D.A.R. State Park,44.0539,-73.4143,FN34hb,US-VT,6,6,845,0,0
K-3112,Elmore State Park,44.5445,-72.5278,FN34rn,US-VT,6,4,103,0,0
K-3113,Emerald Lake State Park,43.2808,-73.0049,FN33lg,US-VT,8,8,304,0,0
K-3114,Fort Dummer State Park,42.8242,-72.5657,FN32rt,US-VT,15,15,421,0,0
K-3115,Gifford Woods State Park,43.6762,-72.8114,FN33oq,US-VT,11,9,377,0,0
K-3116,Grand Isle State Park,44.6864,-73.2948,FN34iq,US-VT,4,4,627,0,0
K-3117,Green River Reservoir State Park,44.6216,-72.5262,FN34ro,US-VT,3,3,841,0,0
K-3118,Halfmoon Pond State Park,43.6991,-73.223,FN33jq,US-VT,6,3,82,0,0
K-3119,Hazens Notch State Park,44.8444,-72.5203,FN34ru,US-VT,2,2,33,0,0
K-3120,Jamaica State Park,43.1065,-72.7729,FN33oc,US-VT,4,3,120,0,0
K-3121,Kamp Kill Kare State Park,44.779,-73.183,FN34js,US-VT,8,8,1869,0,0
K-3122,Kettle Pond State Park,44.2937,-72.3077,FN34uh,US-VT,6,6,919,0,0
K-3123,Kingsland Bay State Park,44.2354,-73.2969,FN34if,US-VT,3,3,1062,0,0
K-3124,Knight Island State Park,44.8115,-73.2535,FN34it,US-VT,0,0,0,0,0
K-3125,Knight Point State Park,44.7712,-73.2941,FN34is,US-VT,9,9,3356,0,0
K-3126,Lake Carmi State Park,44.9524,-72.8834,FN34nw,US-VT,4,4,1608,0,0
K-3127,Lake St. Catherine State Park,43.4806,-73.2016,FN33jl,US-VT,13,12,359,0,0
K-3128,Lake Shaftsbury State Park,43.0222,-73.1835,FN33ja,US-VT,5,5,161,0,0
K-3129,Little River State Park,44.3898,-72.7673,FN34oj,US-VT,8,8,552,0,0
K-3130,Lowell Lake State Park,43.2193,-72.7614,FN33of,US-VT,5,5,163,0,0
K-3131,Maidstone State Park,44.6531,-71.6388,FN44ep,US-VT,1,1,24,0,0
K-3132,Molly Stark State Park,42.8526,-72.8149,FN32ou,US-VT,5,5,191,0,0
K-3133,Mount Ascutney State Park,43.4372,-72.4075,FN33tk,US-VT,58,54,2421,0,0
K-3134,Mount Philo State Park,44.2781,-73.2225,FN34jg,US-VT,11,10,1074,0,0
K-3135,New Discovery State Park,44.3204,-72.2903,FN34uh,US-VT,12,5,769,0,0
K-3136,Niquette Bay State Park,44.5846,-73.1939,FN34jo,US-VT,7,7,695,0,0
K-3137,North Hero State Park,44.909,-73.2367,FN34jv,US-VT,10,10,1796,0,0
K-3138,Quechee State Park,43.6366,-72.401,FN33tp,US-VT,43,40,2372,0,0
K-3139,Ricker Pond State Park,44.2458,-72.2535,FN34uf,US-VT,4,2,416,0,0
K-3140,Sand Bar State Park,44.626,-73.2396,FN34jp,US-VT,10,10,946,0,0
K-3141,Sentinel Rock State Park,44.7935,-72.0325,FN34xt,US-VT,6,5,287,0,0
K-3142,Seyon Lodge State Park,44.2271,-72.3038,FN34uf,US-VT,4,4,645,0,0
K-3143,Silver Lake State Park,43.7314,-72.6162,FN33qr,US-VT,6,4,247,0,0
K-3144,Smugglers' Notch State Park,44.521,-72.7742,FN34om,US-VT,6,6,447,0,0
K-3145,Stillwater State Park,44.2799,-72.2743,FN34ug,US-VT,2,2,642,0,0
K-3146,Sweet Pond State Park,42.7557,-72.6343,FN32qs,US-VT,5,5,301,0,0
K-3147,Thetford Hill State Park,43.815,-72.2383,FN33vt,US-VT,8,7,384,0,0
K-3148,Townshend State Park,43.0407,-72.6924,FN33pa,US-VT,2,2,37,0,0
K-3149,Underhill State Park,44.5153,-72.8723,FN34nm,US-VT,6,6,943,0,0
K-3150,Waterbury Center State Park,44.3791,-72.7263,FN34pj,US-VT,5,5,567,0,0
K-3151,Wilgus State Park,43.3893,-72.4077,FN33tj,US-VT,14,12,241,0,0
K-3152,Woodford State Park,42.8912,-73.0385,FN32lv,US-VT,16,15,556,0,0
K-3153,Woods Island State Park,44.8026,-73.2085,FN34jt,US-VT,0,0,0,0,0
K-3154,Alta Lake State Park,48.0283,-119.938,DN08aa,US-WA,10,7,175,0,0
K-3155,Anderson Lake State Park,48.0172,-122.803,CN88oa,US-WA,4,4,72,0,0
K-3156,Battle Ground Lake State Park,45.804,-122.49,CN85st,US-WA,23,18,437,0,0
K-3157,Bayview State Park,48.4881,-122.48,CN88sl,US-WA,25,19,383,0,0
K-3158,Beacon Rock State Park,45.6291,-122.021,CN85xp,US-WA,34,34,1370,0,0
K-3159,Belfair State Park,47.4298,-122.879,CN87nk,US-WA,13,11,342,0,0
K-3160,Birch Bay State Park,48.9051,-122.764,CN88ov,US-WA,16,13,279,0,0
K-3161,Blake Island State Park,47.5412,-122.482,CN87sm,US-WA,4,4,48,0,0
K-3162,Blind Island State Park,48.423,-122.827,CN88ok,US-WA,1,1,23,0,0
K-3163,Bogachiel State Park,47.8964,-124.362,CN77tv,US-WA,3,2,39,0,0
K-3164,Bottle Beach State Park,46.8931,-124.041,CN76xv,US-WA,5,5,53,0,0
K-3165,Bridgeport State Park,48.0148,-119.609,DN08ea,US-WA,9,7,261,0,0
K-3166,Bridle Trails State Park,47.653,-122.174,CN87vp,US-WA,38,33,614,0,0
K-3167,Brooks Memorial State Park,45.9522,-120.668,CN95pw,US-WA,6,6,103,0,0
K-3168,Cama Beach State Park,48.1447,-122.504,CN88rd,US-WA,11,9,189,0,0
K-3169,Camano Island State Park,48.1295,-122.502,CN88rd,US-WA,24,18,319,0,0
K-3170,Cape Disappointment State Park,46.2845,-124.055,CN76xg,US-WA,51,27,803,0,0
K-3171,Centennial Trail State Park,47.7766,-117.546,DN17fs,US-WA,21,20,553,0,0
K-3172,Clark Island State Park,48.6957,-122.764,CN88oq,US-WA,9,7,138,0,0
K-3173,Columbia Hills State Park,45.682,-121.085,CN95kq,US-WA,19,19,588,0,0
K-3174,Conconully State Park,48.5564,-119.753,DN08cn,US-WA,5,2,38,0,0
K-3175,Crawford State Park,48.9945,-117.37,DN18hx,US-WA,1,1,20,0,0
K-3176,Curlew Lake State Park,48.7221,-118.657,DN08qr,US-WA,8,8,724,0,0
K-3177,Cutts Island State Park,47.3209,-122.688,CN87ph,US-WA,1,1,22,0,0
K-3178,Daroga State Park,47.7116,-120.204,CN97vr,US-WA,4,3,43,0,0
K-3179,Dash Point State Park,47.3182,-122.407,CN87th,US-WA,43,36,956,0,0
K-3180,Deception Pass State Park,48.3995,-122.646,CN88qj,US-WA,28,21,552,0,0
K-3181,Doe Island State Park,48.6325,-122.787,CN88op,US-WA,4,4,94,0,0
K-3182,Dosewallips State Park,47.6881,-122.905,CN87nq,US-WA,8,6,107,0,0
K-3183,Doug's Beach State Park,45.6962,-121.29,CN95iq,US-WA,3,3,75,0,0
K-3184,Eagle Island State Park,47.1878,-122.696,CN87pe,US-WA,1,1,71,0,0
K-3185,Federation Forest State Park,47.1546,-121.706,CN97dd,US-WA,6,4,77,0,0
K-3186,Fields Spring State Park,46.0801,-117.168,DN16jb,US-WA,3,1,18,0,0
K-3187,Flaming Geyser State Park,47.2802,-122.036,CN87xg,US-WA,20,17,261,0,0
K-3188,Fort Casey State Park,48.1612,-122.679,CN88pd,US-WA,23,21,443,0,0
K-3189,Fort Columbia State Park,46.2577,-123.918,CN86ag,US-WA,19,19,267,0,0
K-3190,Fort Ebey State Park,48.2192,-122.762,CN88of,US-WA,18,15,276,0,0
K-3191,Fort Flagler State Park,48.0949,-122.703,CN88pc,US-WA,25,16,622,0,0
K-3192,Fort Simcoe State Park,46.3436,-120.839,CN96ni,US-WA,4,4,76,0,0
K-3193,Fort Townsend State Park,48.0731,-122.796,CN88ob,US-WA,8,7,121,0,0
K-3194,Fort Worden State Park,48.1391,-122.769,CN88od,US-WA,24,16,407,0,0
K-3195,Goldendale Observatory State Park,45.839,-120.816,CN95ou,US-WA,7,5,126,0,0
K-3196,Grayland Beach State Park,46.783,-124.093,CN76ws,US-WA,55,40,2043,0,0
K-3197,Griffiths-Priday Ocean State Park,47.1172,-124.18,CN77vc,US-WA,29,24,671,0,0
K-3198,Harstine Island State Park,47.2625,-122.871,CN87ng,US-WA,3,3,49,0,0
K-3199,Hope Island State Park,48.3988,-122.57,CN88rj,US-WA,3,2,37,0,0
K-3200,Hope Island Marine State Park,47.1878,-122.928,CN87me,US-WA,2,2,41,0,0
K-3201,Ike Kinswa State Park,46.5525,-122.529,CN86rn,US-WA,7,7,85,0,0
K-3202,Illahee State Park,47.5997,-122.596,CN87qo,US-WA,15,15,315,0,0
K-3203,Palouse to Cascades State Park Trail State Park,47.432,-121.766,CN97ck,US-WA,9,8,242,0,0
K-3204,James Island State Park,48.5112,-122.774,CN88om,US-WA,4,4,70,0,0
K-3205,Jarrell Cove State Park,47.2844,-122.883,CN87ng,US-WA,2,2,35,0,0
K-3206,Joemma Beach State Park,47.2262,-122.806,CN87of,US-WA,9,7,114,0,0
K-3207,Jones Island State Park,48.6141,-123.045,CN88lo,US-WA,1,1,22,0,0
K-3208,Joseph Whidbey State Park,48.3109,-122.706,CN88ph,US-WA,14,12,223,0,0
K-3209,Kanaskat-Palmer State Park,47.3177,-121.902,CN97bh,US-WA,9,8,117,0,0
K-3210,Kinney Point State Park,48.0087,-122.69,CN88pa,US-WA,0,0,0,0,0
K-3211,Kitsap Memorial State Park,47.8155,-122.648,CN87qt,US-WA,12,11,202,0,0
K-3212,Kopachuck State Park,47.3103,-122.682,CN87ph,US-WA,7,7,114,0,0
K-3213,Lake Chelan State Park,47.8746,-120.199,CN97vu,US-WA,10,7,199,0,0
K-3214,Lake Easton State Park,47.255,-121.202,CN97jg,US-WA,17,13,312,0,0
K-3215,Lake Isabella State Park,47.1685,-123.11,CN87ke,US-WA,5,2,51,0,0
K-3216,Lake Sammamish State Park,47.555,-122.065,CN87xn,US-WA,54,44,1037,0,0
K-3217,Lake Sylvia State Park,46.9953,-123.595,CN86ex,US-WA,11,11,182,0,0
K-3218,Lake Wenatchee State Park,47.8114,-120.728,CN97pt,US-WA,19,14,411,0,0
K-3219,Larrabee State Park,48.6535,-122.491,CN88sp,US-WA,13,12,244,0,0
K-3220,Leadbetter Point State Park,46.597,-124.052,CN76xo,US-WA,15,15,311,0,0
K-3221,Lewis and Clark State Park,46.5197,-122.819,CN86om,US-WA,15,13,324,0,0
K-3222,Lewis and Clark Trail State Park,46.2884,-118.072,DN06xg,US-WA,7,6,254,0,0
K-3223,Lime Kiln Point State Park,48.5159,-123.151,CN88km,US-WA,4,1,24,0,0
K-3224,Lincoln Rock State Park,47.5393,-120.282,CN97um,US-WA,11,10,173,0,0
K-3225,Lyons Ferry State Park,46.5953,-118.22,DN06vo,US-WA,4,4,96,0,0
K-3226,Loomis Lake State Park,46.4339,-124.055,CN76xk,US-WA,13,9,179,0,0
K-3227,Manchester State Park,47.5771,-122.555,CN87rn,US-WA,16,14,382,0,0
K-3228,Maryhill State Park,45.6821,-120.828,CN95oq,US-WA,14,12,269,0,0
K-3229,Matia Island State Park,48.7484,-122.842,CN88nr,US-WA,7,5,96,0,0
K-3230,McMicken Island State Park,47.2484,-122.862,CN87nf,US-WA,1,1,64,0,0
K-3231,Millersylvania State Park,46.9107,-122.908,CN86nv,US-WA,19,12,377,0,0
K-3232,Moran State Park,48.6572,-122.858,CN88np,US-WA,11,9,310,0,0
K-3233,Mount Pilchuck State Park,48.069,-121.81,CN98cb,US-WA,5,5,87,0,0
K-3234,Mount Spokane State Park,47.8851,-117.083,DN17lv,US-WA,22,19,527,0,0
K-3235,Mystery Bay State Park,48.0595,-122.695,CN88pb,US-WA,5,5,85,0,0
K-3236,Nolte State Park,47.2705,-121.938,CN97ag,US-WA,22,17,380,0,0
K-3237,Obstruction Pass State Park,48.6085,-122.826,CN88oo,US-WA,1,1,10,0,0
K-3238,Ocean City State Park,47.0326,-124.163,CN77wa,US-WA,30,27,701,0,0
K-3239,Olallie State Park,47.4358,-121.654,CN97ek,US-WA,14,13,280,0,0
K-3240,Olmstead Place State Park,46.9713,-120.468,CN96sx,US-WA,16,15,399,0,0
K-3241,Pacific Beach State Park,47.206,-124.202,CN77ve,US-WA,47,44,3131,0,0
K-3242,Pacific Pines State Park,46.5018,-124.055,CN76xm,US-WA,8,7,106,0,0
K-3243,Palouse Falls State Park,46.6637,-118.227,DN06vp,US-WA,3,2,82,0,0
K-3244,Paradise Point State Park,45.8653,-122.704,CN85pu,US-WA,12,12,325,0,0
K-3245,Patos Island State Park,48.7842,-122.955,CN88ms,US-WA,8,4,93,0,0
K-3246,Peace Arch State Park,49.0014,-122.754,CN89oa,US-WA,9,7,141,0,0
K-3247,Pearrygin Lake State Park,48.487,-120.146,CN98wl,US-WA,7,7,102,0,0
K-3248,Penrose Point State Park,47.2547,-122.748,CN87pg,US-WA,11,9,165,0,0
K-3249,Peshastin Pinnacles State Park,47.5419,-120.52,CN97rn,US-WA,11,7,181,0,0
K-3250,Pleasant Harbor State Park,47.6647,-122.914,CN87np,US-WA,2,2,34,0,0
K-3251,Posey Island State Park,48.6183,-123.168,CN88jo,US-WA,1,1,39,0,0
K-3252,Potholes State Park,46.977,-119.355,DN06hx,US-WA,8,6,108,0,0
K-3253,Potlatch State Park,47.3614,-123.156,CN87ki,US-WA,16,16,568,0,0
K-3254,Rainbow Falls State Park,46.6308,-123.236,CN86jp,US-WA,3,3,73,0,0
K-3255,Rasar State Park,48.5153,-121.904,CN98bm,US-WA,10,7,215,0,0
K-3256,Reed Island State Park,45.552,-122.295,CN85un,US-WA,0,0,0,0,0
K-3257,Riverside State Park,47.7724,-117.553,DN17fs,US-WA,42,37,768,0,0
K-3258,Rockport State Park,48.488,-121.614,CN98el,US-WA,4,4,95,0,0
K-3259,Sacajawea State Park,46.2043,-119.041,DN06le,US-WA,20,17,326,0,0
K-3260,Saddlebag Island State Park,48.5357,-122.557,CN88rm,US-WA,5,5,79,0,0
K-3261,Saint Edward State Park,47.7329,-122.257,CN87ur,US-WA,60,46,1027,0,0
K-3262,Saltwater State Park,47.3734,-122.322,CN87ui,US-WA,50,42,870,0,0
K-3263,Scenic Beach State Park,47.6491,-122.846,CN87np,US-WA,10,8,125,0,0
K-3264,Schafer State Park,47.0986,-123.466,CN87gc,US-WA,4,4,126,0,0
K-3265,Seaquest State Park,46.3005,-122.817,CN86oh,US-WA,10,10,266,0,0
K-3266,Sequim Bay State Park,48.0406,-123.031,CN88la,US-WA,8,7,168,0,0
K-3267,Shine Tidelands State Park,47.8682,-122.635,CN87qu,US-WA,16,12,365,0,0
K-3268,Skagit Island State Park,48.4137,-122.579,CN88rj,US-WA,2,2,38,0,0
K-3269,Skull Island State Park,48.6394,-122.986,CN88mp,US-WA,2,2,20,0,0
K-3270,South Whidbey State Park,48.0565,-122.591,CN88qb,US-WA,11,9,235,0,0
K-3271,Spencer Spit State Park,48.5344,-122.862,CN88nm,US-WA,1,1,16,0,0
K-3272,Squak Mountain State Park,47.4964,-122.038,CN87xl,US-WA,56,54,1196,0,0
K-3273,Squilchuck State Park,47.3098,-120.373,CN97th,US-WA,7,2,42,0,0
K-3274,Steamboat Rock State Park,47.8695,-119.09,DN07ku,US-WA,27,23,949,0,0
K-3275,Steptoe Butte State Park,47.0323,-117.297,DN17ia,US-WA,21,20,515,0,0
K-3276,Steptoe Battlefield State Park,47.2286,-117.365,DN17hf,US-WA,8,7,162,0,0
K-3277,Stretch Point State Park,47.3296,-122.82,CN87oh,US-WA,2,2,88,0,0
K-3278,Stuart Island State Park,48.6763,-123.204,CN88jq,US-WA,1,0,3,0,0
K-3279,Sucia Island State Park,48.7658,-122.889,CN88ns,US-WA,8,8,118,0,0
K-3280,Sun Lakes-Dry Falls State Park,47.595,-119.362,DN07ho,US-WA,11,8,113,0,0
K-3281,Tolmie State Park,47.1197,-122.776,CN87oc,US-WA,19,15,256,0,0
K-3282,Triton Cove State Park,47.6088,-122.986,CN87mo,US-WA,4,4,171,0,0
K-3283,Turn Island State Park,48.5327,-122.972,CN88mm,US-WA,1,1,10,0,0
K-3284,Twanoh State Park,47.3779,-122.973,CN87mj,US-WA,7,7,173,0,0
K-3285,Twenty-Five Mile Creek State Park,47.993,-120.26,CN97ux,US-WA,2,1,20,0,0
K-3286,Twin Harbors State Park,46.8561,-124.108,CN76wu,US-WA,11,10,237,0,0
K-3287,Wallace Falls State Park,47.8992,-121.672,CN97dv,US-WA,11,11,217,0,0
K-3288,Wenatchee Confluence State Park,47.4599,-120.327,CN97ul,US-WA,13,10,211,0,0
K-3289,Westhaven State Park,46.9044,-124.12,CN76wv,US-WA,10,10,176,0,0
K-3290,Westport Light State Park,46.8873,-124.123,CN76wv,US-WA,10,10,165,0,0
K-3291,Yakima Sportsman State Park,46.5919,-120.456,CN96so,US-WA,23,19,382,0,0
K-3292,Bear River State Park,41.2652,-110.937,DN41mg,US-WY,17,16,650,0,0
K-3293,Boysen State Park,43.2988,-108.161,DN53wh,US-WY,4,4,134,0,0
K-3294,Buffalo Bill State Park,44.5071,-109.264,DN54im,US-WY,12,11,406,0,0
K-3295,Curt Gowdy State Park,41.1693,-105.228,DN71je,US-WY,25,22,1587,0,0
K-3296,Edness Kimball Wilkins State Park,42.8536,-106.177,DN62vu,US-WY,4,4,215,0,0
K-3297,Glendo State Park,42.4712,-104.951,DN72ml,US-WY,66,47,2888,0,0
K-3298,Guernsey State Park,42.3047,-104.766,DN72oh,US-WY,10,10,1435,0,0
K-3299,Hot Springs State Park,43.6527,-108.194,DN53vp,US-WY,2,2,71,0,0
K-3300,Keyhole State Park,44.3609,-104.765,DN74oi,US-WY,9,8,391,0,0
K-3301,Seminoe State Park,42.1365,-106.894,DN62nd,US-WY,3,3,65,0,0
K-3302,Sinks Canyon State Park,42.7557,-108.802,DN52os,US-WY,3,3,48,0,0
K-3303,Agate Falls Scenic Site,46.4812,-89.0901,EN56kl,US-MI,14,13,379,0,0
K-3304,Bass River State Recreation Area,43.0063,-86.0198,EN63xa,US-MI,27,27,983,0,0
K-3305,Bay City State Recreation Area,43.6673,-83.9058,EN83bq,US-MI,31,30,766,0,0
K-3306,Bond Falls Scenic Site,46.41,-89.1326,EN56kj,US-MI,19,17,769,0,0
K-3307,Cambridge Junction State Historical Park,42.062,-84.2229,EN72vb,US-MI,18,18,659,0,0
K-3308,Father Marquette Memorial National Memorial,45.8529,-84.7258,EN75pu,US-MI,39,34,1311,0,0
K-3309,Fayette Historic State Park,45.7179,-86.669,EN65pr,US-MI,7,6,99,0,0
K-3310,Fort Custer State Recreation Area,42.317,-85.3401,EN72hh,US-MI,34,31,1303,0,0
K-3311,Fort Wilkins State Historical Park,47.4672,-87.8697,EN67bl,US-MI,19,17,417,0,0
K-3312,Highland State Recreation Area,42.6332,-83.5658,EN82fp,US-MI,73,72,3029,0,2
K-3313,Holly State Recreation Area,42.8163,-83.5398,EN82ft,US-MI,43,41,1304,0,0
K-3314,Ionia State Recreation Area,42.9299,-85.1344,EN72kw,US-MI,61,56,2422,0,0
K-3315,Island Lake State Recreation Area,42.5056,-83.7076,EN82dm,US-MI,202,184,8247,0,0
K-3316,Lake Hudson State Recreation Area,41.8316,-84.2488,EN71vt,US-MI,22,22,1475,0,0
K-3318,Lime Island State Recreation Area,46.0827,-83.9935,EN86ab,US-MI,6,5,135,0,0
K-3319,Menominee River State Recreation Area,45.7597,-87.939,EN65as,US-MI,9,9,203,0,0
K-3320,Metamora-Hadley State Recreation Area,42.9451,-83.3588,EN82hw,US-MI,57,53,2529,0,1
